tipo_doc,numero_doc,nombre_completo,eps,estado,regimen,tipo_afiliado,fecha_inicio,fecha_fin
CC,1043974773,JOSE DAVID QUIÑONEZ REHENALS,NUEVA EPS,ACTIVO,Contributivo,COTIZANTE,2014-01-01,2999-12-31
CC,1234567890,MARIA FERNANDA GARCIA LOPEZ,SANITAS,ACTIVO,Contributivo,BENEFICIARIO,2019-03-15,2999-12-31
CC,9876543210,CARLOS ANDRES MARTINEZ PEREZ,SURA,ACTIVO,Subsidiado,COTIZANTE,2020-07-01,2999-12-31
CC,1111111111,LAURA PATRICIA RODRIGUEZ GOMEZ,COMPENSAR,INACTIVO,Contributivo,COTIZANTE,2018-01-01,2024-06-30
CC,2222222222,PEDRO JOSE HERNANDEZ VARGAS,FAMISANAR,ACTIVO,Contributivo,COTIZANTE,2021-02-01,2999-12-31
TI,987654321,JUAN SEBASTIAN TORRES MUÑOZ,SALUD TOTAL,ACTIVO,Subsidiado,COTIZANTE,2022-05-10,2999-12-31
CC,3333333333,ANA MILENA CASTRO PINTO,COOSALUD,ACTIVO,Subsidiado,BENEFICIARIO,2017-11-20,2999-12-31
CC,4444444444,DIEGO ALEJANDRO RUIZ NIETO,,NO_AFILIADO,,,
CC,5555555555,CAROLINA JIMENEZ RIOS,MEDIMAS,INACTIVO,Contributivo,COTIZANTE,2016-04-01,2023-12-31
CE,123456789,ROSA ELENA SUAREZ MORA,NUEVA EPS,ACTIVO,Contributivo,COTIZANTE,2020-09-01,2999-12-31
CC,6666666666,WILLIAM ANDRES FLOREZ MENDEZ,COOMEVA,ACTIVO,Contributivo,COTIZANTE,2015-06-15,2999-12-31
CC,7777777777,LUISA FERNANDA PARRA SILVA,EMSSANAR,ACTIVO,Subsidiado,BENEFICIARIO,2023-01-15,2999-12-31
CC,8888888888,ANDRES CAMILO REYES ACOSTA,,NO_AFILIADO,,,
PA,A12345678,JAMES WILSON GARCIA BROWN,SANITAS,ACTIVO,Contributivo,COTIZANTE,2021-08-01,2999-12-31
CC,10203040,GLORIA INES MORA QUINTERO,ALIANSALUD,ACTIVO,Contributivo,BENEFICIARIO,2019-10-01,2999-12-31
CC,52804671,PATRICIA ELENA VARGAS OSPINA,CAPITAL SALUD,ACTIVO,Subsidiado,COTIZANTE,2020-03-01,2999-12-31
CC,71234567,ROBERTO CARLOS PEÑA GUTIERREZ,SALUD TOTAL,INACTIVO,Contributivo,COTIZANTE,2017-07-01,2024-01-31
CC,43215678,DIANA MARCELA RIOS CARDENAS,SANITAS,ACTIVO,Contributivo,COTIZANTE,2022-11-01,2999-12-31
CC,15873924,OSCAR IVAN RAMIREZ CORREA,SURA,ACTIVO,Contributivo,COTIZANTE,2018-09-15,2999-12-31
RC,102938475,SOFIA VALENTINA MEJIA TORRES,,INACTIVO,,,
CC,1030598741,JUAN PABLO LONDOÑO GARCIA,COMPENSAR,ACTIVO,Contributivo,BENEFICIARIO,2023-06-01,2999-12-31
CC,75849302,NELSON ENRIQUE CASTILLO MORA,COOSALUD,ACTIVO,Subsidiado,COTIZANTE,2021-01-20,2999-12-31
CC,41239876,BEATRIZ ELENA AGUDELO MARIN,NUEVA EPS,ACTIVO,Contributivo,COTIZANTE,2016-12-01,2999-12-31
CC,98765432,HENRY ALBERTO ZUÑIGA PRADA,MEDIMAS,SUSPENDIDO,Contributivo,COTIZANTE,2015-03-01,2025-03-31
CC,63741852,AMPARO DEL SOCORRO TAMAYO GIRALDO,FAMISANAR,ACTIVO,Contributivo,BENEFICIARIO,2020-06-01,2999-12-31
