numero_registro,nombre_completo,especialidad,entidad,estado,vigencia
12345,CARLOS ALBERTO GOMEZ PEREZ,MEDICINA GENERAL,HOSPITAL SAN JOSE DE BOGOTA,ACTIVO,2026-12-31
67890,MARIA ALEJANDRA TORRES RODRIGUEZ,ORTOPEDIA Y TRAUMATOLOGIA,CLINICA EL BOSQUE,ACTIVO,2025-12-31
11111,PEDRO ANTONIO MARTINEZ SUAREZ,MEDICINA INTERNA,HOSPITAL UNIVERSITARIO SAN IGNACIO,ACTIVO,2027-06-30
22222,LAURA CRISTINA VARGAS MENDEZ,GINECOLOGIA Y OBSTETRICIA,IPS SALUD MUJER,ACTIVO,2026-03-31
33333,JUAN CARLOS HERRERA BLANCO,MEDICINA GENERAL,CENTRO MEDICO VIDA,INACTIVO,2023-12-31
44444,ANA SOFIA RAMIREZ LEON,DERMATOLOGIA,CLINICA PIEL SANA,ACTIVO,2028-01-31
55555,DIEGO MAURICIO SILVA TORRES,TRAUMATOLOGIA,HOSPITAL MILITAR CENTRAL,ACTIVO,2026-09-30
99999,LUCIA CAMILA MORENO CASTRO,CARDIOLOGIA,CLINICA DEL CORAZON,SUSPENDIDO,2024-06-30
10001,ANDRES FELIPE OSPINA REYES,MEDICINA FAMILIAR,CENTRO MEDICO LOS ANDES,ACTIVO,2027-03-31
10002,CLAUDIA PATRICIA JIMENEZ RUIZ,PEDIATRIA,HOSPITAL DE LA MISERICORDIA,ACTIVO,2025-09-30
10003,HECTOR MANUEL AVILA GUTIERREZ,PSIQUIATRIA,CLINICA MONTE TABOR,ACTIVO,2026-06-30
10004,SANDRA MILENA FLOREZ ZUÑIGA,NEUROLOGIA,HOSPITAL UNIVERSITARIO DEL VALLE,ACTIVO,2027-12-31
10005,GABRIEL AUGUSTO ROJAS PINTO,UROLOGIA,CLINICA SHAIO,ACTIVO,2025-06-30
10006,ISABEL CRISTINA MORALES QUINTERO,ENDOCRINOLOGIA,HOSPITAL PABLO TOBON URIBE,ACTIVO,2026-08-31
10007,MAURICIO ANTONIO CASTRO LEAL,MEDICINA GENERAL,IPS SANAR,INACTIVO,2022-12-31
10008,NATHALIA ESPERANZA HENAO VILLA,MEDICINA GENERAL,CENTRO DE SALUD NORTE,ACTIVO,2026-11-30
10009,RODRIGO ALEJANDRO VELEZ CASTAÑO,MEDICINA LABORAL,CLINICA LABORAL SAS,ACTIVO,2027-01-31
10010,YOLANDA PATRICIA GARCIA SUAREZ,ANESTESIOLOGIA,CLINICA UNIVERSITARIA COLOMBIA,SUSPENDIDO,2023-08-31
20001,FERNANDO JESUS MENDEZ ARANGO,MEDICINA GENERAL,UNIDAD MEDICA DEL SUR,ACTIVO,2026-07-31
20002,LILIANA MARCELA CANO BETANCUR,ONCOLOGIA,INSTITUTO NACIONAL DE CANCEROLOGIA,ACTIVO,2028-06-30
20003,JORGE ANTONIO DURAN PEÑARANDA,MEDICINA INTERNA,FUNDACION CARDIOINFANTIL,ACTIVO,2027-04-30
20004,ADRIANA LUCIA VALENCIA ARCE,MEDICINA FAMILIAR,CENTRO DE SALUD SUR OCCIDENTE,ACTIVO,2025-11-30
